add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val,
"BALCONY - 1, 2 y 3 recámaras - ¡En Construcción!",198800,76,2,2,2,198800
"Apartments in Victoriano Lorenzo | Apartamento en El Bosque, PH GREENWOOD TOWERS, Via Ricardo J Alfaro",175000,70,2,2,1,175000
Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,790000,306,3,3.5,2,790000
Apartments in Santa María | EMPIRE - SANTA MARIA con opción a 4 recamaras,850000,322,4,4,3,"850,000.00"
Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,450000,171,2,2.5,2,"450,000.00"
Apartments in Punta Paitilla | GANGA / 2REC / 167mt2 / PAITILLA #1816 avd,199000,167,2,2,1,"199,000.00"
"Apartments in Avenida Balboa | Se vende apartamento en Avenida Balboa Bella Vista, Ph Nuovo Armani",330000,105,2,3,1,"330,000.00"
"Apartments in Avenida Balboa | Se vende apartamento en Ave Balboa, Ph Yoo & Arts",325000,121,1,1,1,"325,000.00"
Apartments in San Francisco | PH AURORA - 120m2 / 3Rec / 2.5Baños / Cuarto y baño de servicio,310200,120,3,2.5,2,"310,200.00"
PREVENTA PROYECTO CELESTE EN SANTA MARÍA,562275,189,3,3,NaN,562275
"Apartments in Calle 50 | Bella Vista, Vendo Apto 1Rec opción a la 2da Rec y 2 Baños 50Mts Entrega Inmediata $126,000.00",126000,50,1,2,1,"126,000.00"
Apartments in Punta Pacífica | Ph Beach Club Residences. Ocean Reef II. SP,1150000,241,3,3.5,3,1150000
Apartments in Obarrio | Apartamento a la venta en Obarrio,270000,230,4,2,2,270000
Apartments in Costa del Este | SE VENDE FULL AMOBLADO APARTAMENTO COSTA DEL ESTE,610000,244,3,3.5,2,610000
Apartments in Costa del Este | MATISSE,915000,337,3,3,3,915000
Apartments in Punta Pacífica | ONE OF A KIND APARTMENT FOR SALE IN OCEAN REEF ISLAND,2900000,300,3,3.5,2,2900000
"Apartments in Carrasquilla | Se vende apartamento en Carrasquilla, Ph Residencias del Sol",179899,84,2,2,1,"179,899.00"
"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Pacific Point Torre 400",815520,272,3,3,2,"815,520.00"
"Apartments in Avenida Balboa | Se vende apartamento en Avenida Balboa, Ph Marina Terrace",418000,221.8,3,4.5,2,418000
"Apartments in Punta Pacífica | Se Vende Apartamento en Punta Pacifica, Ph The Ocean Club trump",370000,120,2,2,1,"370,000.00"
Apartments in Dorado Lake | Venta-alquiler,200000,106,3,3,1,200000
Apartments in Obarrio | VENDO APARTAMENTO EN OBARRIO,360000,188,3,3.5,2,360000
"Apartments in Coco del Mar | VITA FURNISHED APARTMENT FOR SALE, COCO DEL MAR (1)",365000,140,3,2,2,365000
Apartments in Costa del Este | SE VENDE PH TITANIUM COSTA DEL ESTE,485000,237,3,3.5,2,485000
Apartments in San Francisco | IMPECABLE APARTAMENTO EN VENTA EN CITRUS SAN FRANCISCO AND 23-480,299000,160.75,3,3.5,2,299000
Apartments in Costa del Este | SE VENDE APARTAMENTO REMODELADO COSTA DEL ESTE,795000,298,3,3.5,4,795000
Apartments in Santa María | Spectacular apartment for SALE in The Reserve,1650000,485,4,5,3,"1,650,000.00"
Apartments in Altos de Golf | Excelente Oportunidad / Apto en Altos del Golf # 1810 avd,87300,65,2,1,1,87300
"Apartments in 12 de Octubre | SE VENDE PH TERRANO PLAZA REMODELADO $89,000 2REC",89000,76,2,2,1,89000
"Apartments in Punta Paitilla | REMODELADO PH BAYSIDE TOWER EN PAITILLA $799,800",799800,531,4,6,3,799800
Proyecto en San Francisco de Entrega Inmediata a pasos del Parque Omar,217065,87,2,2,1,217065
Apartments in Costa del Este | VENTA DE APARTAMENTO I COSTA DEL ESTE I Oportunidad de Inversión,325000,121,3,2.5,2,"325,000.00"
Apartments in Hato Pintado | Ph Parklane Tower,185000,107,2,2,1,185000
"Apartments in Avenida Balboa | Excellent location, excellent investment, irresistible price…",199900,131.33,3,3,2,199900
SUPER PROMOCIONES DE FERIA EXTENDIDAS - 5% MENOS + LINEA BLANCA,166082,93,2,2,1,166082
Apartments in Vía Transístmica | Remato apartamento de 93mtrs2 de 2 recámaras,135000,93,2,2,1,"135,000.00"
Apartments in El Cangrejo | Unique opportunity to move now or to rent in El Cangrejo,170900,98.99,3,2,1,170900
"Apartments in El Cangrejo | Miro, El Cangrejo. Apartamento en El Cangrejo",357500,222.36,3,4,2,357500
Apartments in Marbella | Se vende apartamento en Marbella - Vista Bella Plaza,340000,260,3,3.5,2,"340,000.00"
"Apartments in San Francisco | For sale 3 bedrooms, 2 bathrooms, San Francisco, balcony, Parque Omar",260000,110,3,2,2,260000
"Apartments in Avenida Balboa | Se Vende Apto en Vista Marina, Avenida Balboa MLS#15561",200000,114,1,1.5,1,"200,000.00"
Apartments in Clayton | Embassy Club Clayton Penthouse. Apartamento en Embassy,895000,373,4,5.5,3,"895,000.00"
"Apartments in San Francisco | The One Tower, San Francisco. Apartamento en The One Tower",179000,100,2,2,1,179000
"Apartments in El Cangrejo | Terranova, El Cangrejo a $1,109xm2. Apartamento en El Cangrejo, Bella Vista",535000,482.43,3,3.5,3,"535,000.00"
Apartments in El Cangrejo | Terranova - El Cangrejo,1200000,1200,4,6,7,"1,200,000.00"
"Wanders & Yoo – Marbella, Ciudad de Panamá",460000,144,2,2,2,460000
Bali en Costa del Mar - Costa del Este,399000,168.82,3,3,2,399000
NUOVO ArmaniI/Casa en Cinta Costera,360000,98,2,3,NaN,360000
Apartments in Clayton | Clayton Park Clayton. Apartamento en Clayton en Venta,245000,141.06,3,2,2,"245,000.00"
"Apartments in San Francisco | Terrawind San Francisco, Apartamento en San Francisco",199500,131,3,3.5,1,199500
Apartments in Costa del Este | Sol del Este Costa del Este. Apartamento en Costa del Este,225000,147.6,3,3.5,2,225000
Apartments in Marbella | For sale Pent-house in P.H Costa Del Mar.,789000,525.12,4,4.5,2,789000
Apartments in Costa del Este | Elevation Tower Costa del Este. Apartamento en Costa del Este,360000,185.14,3,3.5,2,360000
"Apartments in Coco del Mar | PH SANTORINI APARTMENT FOR SALE, COCO DEL MAR (4)",750000,340,3,3.5,5,750000
Apartments in San Francisco | MODERN FURNISHED APARTMENT SAN FRANCISCO (OCEAN VIEW),232000,114,2,2.5,2,232000
Apartments in La Cresta | Apartment for sale in bella vista,110000,49,1,1,1,"110,000.00"
Apartments in Parque Lefevre | Venta apartmento en Parque Lindo II F.A,125000,75,2,2,1,125000
"Apartments in Avenida Balboa | The Sands Apartments &amp;amp;amp;amp;amp;amp; Mall! 245,000usd",265000,77,1,2,2,265000
Apartments in Clayton | EMBASSY CLUB APARTMENT,850000,295,4,3.5,3,850000
"Apartments in Coco del Mar | RIVIERA DEL GOLF APARTMENT FOR SALE, COCO DEL MAR (1)",579000,250,4,4,3,579000
"Apartments in Coco del Mar | FOR SALE APARTMENT PH VICTORY SPORT, COCO DEL MAR (5)",365000,125,3,2.5,2,365000
"Apartments in San Francisco | Se Vende Apartamento, San Francisco",198000,106,2,2,1,"198,000.00"
Apartments in Miraflores | Remate apartamento familiar 122m2 a 2 minutos de estación del metro,145000,122,3,3,2,145000
Apartments in Altos de Golf | ESPECTACULAR! - Oportunidad Frente al Parque Omar,397500,207,3,2.5,2,397500
Apartments in El Cangrejo | Se vende apartamento en el Cangrejo Ph Las Garzas OV,175000,105,2,2,1,175000
Apartments in Obarrio | OBARRIO PH DOWNTOWN 55 APARTAMENTO ÚNICO,500000,184,5,4,3,500000
Apartments in Punta Pacífica | VENTA APARTAMENTO PH OASIS ON THE BAY PUNTA PACIFICA,180000,100,1,1.5,1,180000
Reserva Santa Fe - Apartamentos,82269,62.04,2,1,1,82269
Apartments in Costa del Este | Next to the iStrip Mall Plaza and steps from the Town Center,390000,216.67,3,4,2,"390,000.00"
Apartments in Costa del Este | TOP Towers building | TURNKEY Property For Sale,250000,118.74,2,3,1,250000
Apartments in Hato Pintado | Venta de Apartamento en Hato Pintado,116000,77,2,2,1,116000
Apartments in Punta Paitilla | VENTA DE APARTAMENTO EN PUNTA PAITILLA OPCION ALQUILER $1400.00,215000,160,3,2,1,215000
Apartments in Campo Alegre | Hermoso Apartamento Remodelado,270000,170,2,2.5,2,270000
"Apartments in 12 de Octubre | Ganga , venta 100,000",100000,64,2,1,1,100000
Venta Albatross Santa María,950000,339,3,3,3,950000
"✅✅ ARMONIA en Cinta Costera, Invierte en TU FUTURO",124400,45.24,1,1,NaN,124400
"Apartments in Rio Abajo | PH TORRES DE ESPAÑA – VENTA APARTAMENTO $115,000USD",115000,80,3,2,1,115000
Apartments in Punta Pacífica | Apartment for Sale in Punta Pacifica Mystic Point,250000,163,3,3,2,250000
Apartments in Costa del Este | P.H. Mirador in Costa del Este for Sale,490000,200,3,3.5,2,490000
Apartments in Punta Paitilla | Venta P. H. Las Hadas| Apartamento,430000,39000,3,3.5,3,"430,000.00"
Apartments in Panama City | APARTAMENTO EN VENTA EN VILLA DE LAS FUENTES...,173000,120,2,2.5,1,"173,000.00"
"Apartments in Punta Pacífica | GANGA VENDO APTO. EN PUNTA PACIFICA PH COSTA PACIFICA 142M AMOBLADO 300,000",300000,142,3,4,2,300000
Apartments in Punta Pacífica | UNIQUE apartment Pacific Point Torre torre 400,782400,326,4,4,2,782400
Apartments in San Francisco | Se Vende Apartamento en San Francisco ID8083,160000,114,2,2,1,"160,000.00"
Apartments in Villa de las Fuentes | FOR SALE Apartment in Villa de Las Fuentes,235000,153.4,3,3,2,"235,000.00"
Apartments in Vía Argentina | Penthouse for sale in El Cangrejo! Negotiable price.,375000,256,4,3.5,2,"375,000.00"
Apartments in Vía Brasil | Apartment for Sale in Via Brasil - P.H. Metric,160000,86,2,2,1,160000
Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica - PH PACIFIC POINT,790000,308,3,3.5,3,"790,000.00"
Apartments in Costa del Este | OFFER MATISSES APARTMENT FIRST LINE COSTA DEL ESTE,860000,337,3,3.5,3,860000
PH SOLANA 306M2 - 3REC - ULTIMAS UNIDADES - EN SANTA MARÍA,787500,306,3,3,NaN,787500
Marea II 707Mts2 - 1 Apto. por piso - Frente al Mar en Costa del Este,1926575,707,4,4,5,1926575
PH ARIA – 358M2 CON 4RECAMARAS - COSTA DEL ESTE VISTA PARQUE Y MAR,930800,358,4,4,3,930800
Apartments in Avenida Balboa | SPECTACULAR LOFT IN AV BALBOA FOR SALE,310000,120,1,1.5,1,310000
Apartments in Avenida Balboa | Hermoso apartamento cerca de ave Balboa! PH Bella Vista Park,319950,182,3,2.5,2,"319,950.00"
Apartments in Costa del Este | PENTHOUSE iN MIRADOR DEL ESTE - COSTA DEL ESTE,767800,349,4,4.5,3,767800
Apartments in Punta Pacífica | Venta de apartamento en el PH Q Tower con vistas al mar.,565000,307,3,3.5,2,565000
"Apartments in Albrook | Albrook Apartment for sell, PH Sun City 5ATb- 140m2)",225000,140,3,2,2,225000
Apartments in Punta Paitilla | VENTA APARTAMENTO DAVIMAR PUNTA PAITILLA,405000,320,3,3,5,405000
Apartments in Punta Paitilla | VENTA APARTAMENTO COSTA PACIFICA AMOBLADO PUNTA PAITILLA,319000,199,3,4,2,"319,000.00"
"Apartments in Casco Viejo, San Felipe | Casco Viejo: Panoramic Views from your Living Room",1692420,257.58,3,4.5,2,"1,692,420.00"
"Apartments in Casco Viejo, San Felipe | Casco Viejo: investment apartment plaza view",215000,58,1,1,NaN,215000
"Apartments in Casco Viejo, San Felipe | Casco Viejo: panoramic roof terrace",450000,130,2,2,NaN,450000
Apartments in San Francisco | SE VENDE APARTAMENTO EN TERRAWIND GANGA!! SAN FRANCISCO,190000,124,3,3,1,190000
Apartments in San Francisco | Apartamento en Venta San Francisco Amplio Acogedor Hermoso 23EP1124,560000,308,3,4,NaN,560000
Apartments in Santa María | Apartamento en Venta Santa Maria Lujosa Moderna Torre 22EP10683,870500,322,3,4,2,870500
Apartments in San Francisco | SE VENDE! LUJOSO APARTAMENTO PH PREMIUM TOWER,325000,160,3,3,2,325000
Apartments in Coco del Mar | GANGA!! VENTA DE APARTAMENTO EN SAN FRANCISCO,310000,210,4,4.5,2,310000
Apartments in San Francisco | Apartamento en venta san francisco Infinity #23-923 lcv,270000,175,3,2.5,2,"270,000.00"
Apartments in Vía Porras | Excelent Apartment,175000,93,2,2,1,175000
Apartments in Santa Ana | Apartamento,27000,40,1,1,1,27000
Apartments in Clayton | Sale of Apartment in Clayton,299000,147,2,3.5,2,299000
"Apartments in Costa del Este | ID 3231 AMPLIO BALCON Y ESPACIOS, 3.5 BAÑOS",340000,185,3,3.5,2,"340,000.00"
"Apartments in San Francisco | ID 2903 LOFT AMPLIO, AMOBLADO, CERCA A MULTIPLAZA",272500,176,3,3.5,2,"272,500.00"
Apartments in Coco del Mar | Apartment for sale in Coco del Mar - PH Icon Tower Cl-,290000,2009,3,3,2,290000
Apartments in Vía Porras | Furnished Apartment For Sale In San Francisco,170000,86,2,2,1,170000
Apartments in Santa María | Empire Residences 38B 925K The Most Trendy Project in Santa Maria,925000,322,3,3.5,4,925000
"Apartments in Costa Sur | Costa Sur, VENTA de Apartamento * Ericka",219900,126,2,2,2,219900
"Apartments in Urbanización Don Bosco | SUPER INVERSIÓN DE APARTAMENTO AMOBLADO MYSTIC VILLAGE, DON BOSCO",80000,61.62,2,2,1,"80,000.00"
"Apartments in Tumba Muerto | Vendo o alquilo Apto 2 recámaras, 2 baños, excelente estado y ubicación",700,85,2,2,1,700
Apartments in Dorado Lake | 超级价格面议 Apt Condado del Rey 乡村俱乐部,188000,105,3,3,1,188000
Apartments in La Cresta | Vendo apartamento vista panorámica en la cresta 480 m2,510000,480,3,4,4,510000
Apartments in Costa del Este | P.H. BALI - APARTAMENTO DE 169m2 EN COSTA DEL ESTE,389000,169,3,3,2,389000
Apartments in Pedregal | Aptos Colina de la Riviera-Pedregal. OPORTUNIDAD !!!,75900,71,2,1,1,"75,900.00"
Apartments in San Francisco | Beautiful remodeled apartment at PH Serenity with ocean view,219000,118,2,2,1,219000
