scaled_y,y,scaled_x1,scaled_x2,scaled_x3,scaled_x4,x_2_dumm,x_3_dumm,x_4_dumm,x1
-0.053226878707361515,139.0,-0.14308727125181755,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,58.0
-0.03421142581246541,233.2596,-0.11955915658809099,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,79.34
-0.05201646918547328,145.0,-0.10560105294972275,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,92.0
-0.05746331203397036,118.0,-0.13426698459250114,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,66.0
-0.056051167591767405,125.0,-0.12875430543042837,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,71.0
0.03372087194827697,570.0,0.018985496113121798,0.05500227721269165,0.11780780324882345,0.0211595229661117,0,1,0,205.0
-0.04495574697445855,180.0,-0.11613027014928172,-0.0878548656444512,-0.09647791103689084,0.0211595229661117,0,0,0,82.45
-0.03991237396659089,205.0,-0.09788330212282087,-0.0878548656444512,-0.16790648246546228,-0.08995158814499941,0,0,0,99.0
-0.012678159724105516,340.0,-0.05488440465865328,-0.0878548656444512,-0.025049339608319406,0.0211595229661117,0,0,0,138.0
0.08011990362065946,800.0,0.45448714991687045,0.1978594200698345,0.2606649461059663,0.24338174518833394,1,1,0,600.0
-0.03285165175557617,240.0,-0.03724383134002043,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,154.0
-0.047174831097920325,169.0,-0.11111373211179551,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,87.0
-0.055244227910508585,129.0,-0.1397796637545739,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,61.0
-0.05201646918547328,145.0,-0.11809278393097963,-0.23071200850159407,-0.16790648246546228,-0.08995158814499941,0,0,0,80.67
0.023311350060038115,518.4,0.0046525302917326036,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,192.0
-0.04497612220141034,179.899,-0.11442133960903918,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,84.0
-0.055082839974256816,129.8,-0.14639487874906124,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,55.0
0.07205050680807121,760.0,0.09065032522006777,0.05500227721269165,0.11780780324882345,0.0211595229661117,0,1,0,270.0
-0.04533702597385334,178.11,-0.09711152704013068,0.05500227721269165,-0.09647791103689084,-0.08995158814499941,0,0,0,99.7
-0.05275280164462196,141.35,-0.12081604743704358,-0.0878548656444512,-0.09647791103689084,-0.08995158814499941,0,0,0,78.2
-0.010862545441273158,349.0,0.24876498894663893,0.1978594200698345,0.04637923182025202,0.0211595229661117,1,0,0,413.41
0.09020664963639478,850.0,0.16452022599184285,0.05500227721269165,0.2606649461059663,0.0211595229661117,0,1,0,337.0
-0.01469550892725258,330.0,-0.07362751380970069,0.05500227721269165,0.11780780324882345,0.0211595229661117,0,1,0,121.0
-0.010660810520958451,350.0,-0.005931813699447103,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,182.4
0.10432809405842425,920.0,0.15662606943175464,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,329.84
0.08314592742538006,815.0,0.2549281642498362,0.05500227721269165,0.04637923182025202,0.1322706340772228,0,0,0,419.0
-0.005617437513090789,375.0,-0.04027580487916045,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,151.25
-0.009147798618598152,357.5,0.03812551816383846,-0.0878548656444512,0.18923637467739488,0.0211595229661117,0,1,0,222.36
-0.02679960414613497,270.0,-0.017398186356558466,0.05500227721269165,-0.09647791103689084,0.0211595229661117,0,0,0,172.0
-0.020747556536693777,300.0,-0.05488440465865328,0.05500227721269165,-0.09647791103689084,0.0211595229661117,0,0,0,138.0
0.07326091632995944,766.0,0.14282232080992444,0.1978594200698345,0.18923637467739488,0.0211595229661117,1,1,0,317.32
0.029686173541982844,550.0,0.013472816951049032,0.05500227721269165,0.11780780324882345,0.0211595229661117,0,1,0,200.0
0.08011990362065946,800.0,0.2558653197073886,0.1978594200698345,0.33209351753453775,0.1322706340772228,1,1,0,419.85
-0.021756231138267308,295.0,-0.015082861108487909,-0.23071200850159407,-0.2393350538940337,-0.08995158814499941,0,0,0,174.1
-0.020747556536693777,300.0,-0.03614129550760588,0.05500227721269165,-0.025049339608319406,0.0211595229661117,0,0,0,155.0
-0.013686834325679048,335.0,0.020088031945536353,0.05500227721269165,0.11780780324882345,0.1322706340772228,0,1,0,206.0
-0.02094929145700848,299.0,-0.0449615821669223,-0.0878548656444512,0.11780780324882345,0.0211595229661117,0,1,0,147.0
0.011933500554288674,462.0,0.17885319181323206,0.1978594200698345,0.18923637467739488,0.0211595229661117,1,1,0,350.0
-0.037188952542342356,218.5,-0.07693512130694435,0.05500227721269165,0.04637923182025202,0.0211595229661117,0,0,0,118.0
-0.02276490573984084,290.0,-0.028423544680704002,-0.0878548656444512,-0.025049339608319406,0.0211595229661117,0,0,0,162.0
-0.02276490573984084,290.0,-0.024013401351045786,0.05500227721269165,-0.025049339608319406,0.0211595229661117,0,0,0,166.0
0.10473156389905366,922.0,0.2891067750546874,0.1978594200698345,0.18923637467739488,0.24338174518833394,1,1,0,450.0
0.0781025544175124,790.0,0.1325466868518208,0.05500227721269165,0.18923637467739488,0.0211595229661117,0,1,0,308.0
-0.053226878707361515,139.0,-0.10008837378764998,0.05500227721269165,-0.09647791103689084,-0.08995158814499941,0,0,0,97.0
