,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
52,Apartments in Costa del Este | PH COSTA REAL en Costa del este,"B/.430,000.00",227,3,3.5,2
53,"Apartments in El Ingenio | PH Summer Remodelado, Rebajado","B/.109,000.00",78.38,2,2,1
54,"Apartments in Obarrio | 5982 Apartment in PH Metric, Obarrio, Bella Vista, Panamá","B/.189,000.00",84,2,2,1
55,"Apartments in Vía Porras | Apartment For Sale in San Francisco, Panamá City","B/.300,000.00",156.25,3,3.5,1
56,Apartments in Avenida Balboa | Apartamento en Venta - Green View Ave Balboa,"B/.292,000.00",111.04,2,2,1
57,"Apartments in Marbella | 6013 Apartamento en PH Vista Bella Plaza, Marbella, Panamá","B/.360,000.00",260,3,3.5,2
58,Apartments in Costa Sur | SE VENDE APTO 3 HAB PH TORRES DE VERSALLES 1. COSTA SUR,"B/.145,000.00",99,3,2,2
59,Apartments in Bella Vista | Vendo apartamento en Bella Vista,"B/.461,000.00",186,3,3.5,2
60,"Apartments in Pueblo Nuevo | ¡REMATE BANCARIO! PH Vista Marina Towers 100, Pueblo Nuevo","B/.135,000.00",89.04,3,2,1
61,"Apartments in San Francisco | Se vende apartamento en San Francisco, Ph Park Loft","B/.305,000.00",158,2,2,2
62,"Apartments in Bella Vista | ¡REMATE BANCARIO! PH La Condesa, Bella Vista","B/.180,000.00",155,3,2,1
63,Apartments in Vía Porras | VENTA! APARTAMENTO EN SAN FRANCISCO - METROPOLITAN ONE,"B/.179,000.00",97,2,3,2
64,"Apartments in San Francisco | Se vende apartamento en San Francisco, Ph Park Loft","B/.340,000.00",138,2,2,1
65,Apartments in Coco del Mar | Charming 1-bedroom Condo For Sale In San Francisco Panama Neighborhood,"B/.146,000.00
 (Reduced 3%)",82,1,1.5,1
66,Apartments in Pueblo Nuevo | Apartamento en venta en Ricardo J Alfaro 22-8532 MMC,"B/.127,000.00",76,2,2,1
67,Apartments in Pueblo Nuevo | Apartamento en venta en Pueblo Nuevo 22-7436 MMC,"B/.115,000.00",83,3,2,2
68,Apartments in Vía España | Se vende - PH Los Toneles - Vía España,"B/.129,900.00",83.4,3,2,1
69,"Apartments in Costa del Este | Vendo apartamento en Yoo avenida Balboa $460,000","B/.460,000.00",156,2,2,2
70,Apartments in Vía Transístmica | Apartamento en venta en Transistmica 22-2985 MMC,"B/.90,000.00",74,2,1,1
71,Apartments in Calle 50 | PH EXCELSIOR,"B/.150,000.00
 (Reduced 3%)",90,2,2,1
72,Apartments in Betania | NEGOCIABLE VENTA en Betania - Apartamento 79m2 Camino Real,"B/.95,000.00",79,2,2,1
73,Apartments in Altos de Golf | Remato apartamento en coco del mar 245k,B/.245.00,187,3,4,2
74,Apartments in Clayton | Vendo cleyton park $255.00 3/R. Más estudio 141.m2,B/.255.00,141,3,4,1
75,"Apartments in Costa del Este | Sale of 384 m2 Apartment in PH Vitri Tower, Costa del Este","B/.900,000.00",384,3,5,4
76,Apartments in Costa del Este | Apartment for sale Costa del Este/ 119 m NU,"B/.210,000.00",119,3,2,2
77,Apartments in Avenida Balboa | Apartment for sale Av Balboa / Apartment for sale 138 m2 NU22-367,"B/.258,000.00
 (Reduced 1%)",138,2,2,1
78,Apartments in Marbella | Se vende apartamento en Marbella,"B/.235,000.00",139,2,2,1
79,Apartments in Bella Vista | Apartamento venta Bella Vista / Venta de Apartamento de 182 mt NU,"B/.415,000.00",186,3,4,2
80,Apartments in San Francisco | Se Vende Apartamento en San Francisco,"B/.250,000.00",112,2,2,1
81,Apartments in Punta Pacífica | Vendo apartamento en Punta pacifica en Oasis on the Bay,"B/.195,000.00",99,1,2,1
82,Apartments in Punta Pacífica | Vendo apartamento en Punta Pacifica en el Ph Pacific Sky,"B/.189,000.00",110,2,2,1
