,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,Apartments in Rio Abajo | Venta de Duplex en Proyecto boutique River Loft en Río abajo.,"B/.106,300.00",55,1,2,1
1,Apartments in Coco del Mar | VENTA DE APARTAMENTO EN COCO DEL MAR,"B/.360,000.00",147,2,2,1
2,Apartments in Avenida Balboa | VENDO APARTAMENTO AMOBLADO EN AVENIDA BALBOA P.H. DESTINY,"B/.225,000.00",99.4,1,1,1
3,Apartments in Punta Pacífica | VENDO APARTAMENTO DE LUJO EN PUNTA PACIFICA,"B/.1,250,000.00",433,3,3,3
4,"Apartments in Costa del Este | Venta de Apartamento en Costa del Este, Ph Arcadia del Este","B/.269,500.00",70,1,2,1
5,Apartments in Santa María | APARTAMENTO SANTA MARIA LA MAISON BY FENDI,"B/.1,360,000.00",437,3,4,2
6,Apartments in Rio Abajo | APARTAMENTO RIO ABAJO VENTA,"B/.85,000.00",57,2,1,1
7,Apartments in Villa Cáceres | APARTAMENTO BETANIA VILLA CACERES VENTA,"B/.115,000.00",76,2,2,1
8,Apartments in Santa María | SOLANA / SANTA MARIA / ALQUILER-VENTA,"B/.885,000.00",306,3,5,3
9,Apartments in Avenida Balboa | VENTA APARTAMENTO BAY VIEW AVENIDA BALBOA,"B/.110,000.00",50,2,2,1
10,Apartments in Punta Pacífica | VENTA WATERFRONT SILA OCEAN REEF PUNTA PACIFICA,"B/.3,700,000.00",1300,4,5,4
11,Apartments in Vía España | Venta de apartamento en Via España,"B/.150,000.00",71,2,2,1
12,"Apartments in Tumba Muerto | Hermoso Apartamento en Reventa Country Heights, Condado del Rey","B/.436,000.00",218,3,4,2
13,Apartments in La Cresta | Se Vende Apartamento en la Cresta,"B/.525,000.00",383.82,3,3.5,4
14,Apartments in Vía Porras | Vendo Apartamento San Francisco 2H/2B/2Parking F.A,"B/.175,000.00",90,2,3,2
15,Apartments in Juan Diaz | Sale of Apartment PH. Residential Llano Bonito.,"B/.105,000.00",NaN,2,2,1
16,Apartments in San Miguelito | Apartment for sale in PH Altavista Tower.,"B/.132,000.00",89,2,2,1
17,"Apartments in El Cangrejo | Apartment for sale in PH Setton Place, El Cangrejo","B/.165,000.00",97,2,2,1
18,Apartments in Marbella | Apartment for sale in Marbella - PH Sol Marina,"B/.399,999.00",240.59,3,3,2
19,"Apartments in Bella Vista | Apartment for sale in Bella Vista, PH Botánico","B/.127,000.00",50,1,2,1
20,Apartments in Tocumen | SALE - P.H. EAST TOWER,"B/.140,000.00",NaN,2,2,1
21,"Apartments in San Francisco | For Sale Apartment in PH The Regent, San Francisco","B/.349,999.00",175,3,4,2
22,"Apartments in Juan Diaz | For Sale Apartment in PH SOHO TOWER, Costa del Este","B/.400,000.00",NaN,3,4,NaN
23,Apartments in San Francisco | Ph Pradera,"B/.579,000.00",257,3,4,2
24,Apartments in Condado del Rey | Venta de apartamento en Condado del Rey,"B/.150,000.00",77,2,2,1
25,Apartments in Vía España | Venta de apartamento en Via España,"B/.150,000.00",87.36,3,2,1
26,"Apartments in Bella Vista | Belleview, la mejor relación mejor precio/valor de Bellavista $1,800 por m2","B/.180,000.00",100,2,2,1
27,"Apartments in San Francisco | Vendo Apartamento en PH Roma, San Francisco 22PM10251","B/.190,000.00",87,2,2,1
28,Apartments in 12 de Octubre | Venta de apartamento en 12 de Octubre,"B/.150,000.00",87,3,2,2
29,Apartments in Condado del Rey | Venta de apartamento en Condado del Rey,"B/.150,000.00",97,2,2,1
