,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
50,"Apartments in Avenida Balboa | SE VENDE APTO AVE BALBOA 2 REC $350,000.00","B/.350,000.00",150,2,3,1
51,Apartments in Avenida Balboa | Apartment For Sale Or Rent In PH Waters On The Bay In Avenida Balboa,"B/.350,000.00",133,2,2,1
52,"Apartments in Casco Viejo, San Felipe | Apartment For Sale In PH Casa St George Located In Casco Viejo","B/.625,000.00",163,2,2,1
53,Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,"B/.385,000.00",140,1,1.5,1
54,"Apartments in Punta Pacífica | OFERTA! Lujoso Apartamento en Venta Punta Pacífica Ocean Driv $ 450,000.00","B/.450,000.00",222.08,3,3.5,2
55,"Apartments in Punta Pacífica | Elegant apartment in Keops Tower, San Francisco, FOR SALE.","B/.425,000.00",200,3,2.5,2
56,Apartments in San Francisco | Venta de bello apartamento en PH Bay View con Cocina totalmente remodelada,"B/.305,000.00
 (Reduced 2%)",334,4,4,2
57,"Apartments in Punta Paitilla | APARTMENT FOR SALE PH BARLOVENTO, Punta Paitilla (6)","B/.305,000.00",192,3,2,2
58,Apartments in Coco del Mar | Apartment for sale in San Francisco LAC 22-9826,"B/.205,000.00
 (Reduced 5%)",123,2,2,1
59,"Apartments in Marbella | Venta de Apartamento en Sol Marina, JAP","B/.410,000.00",240.59,3,3.5,2
60,"Apartments in Villa de las Fuentes | Se Vende P.H. Deluna, Villa de las fuentes JAP","B/.225,000.00",163,3,4,2
61,Apartments in Punta Paitilla | COMODO APARTAMENTO EN VENTA PUNTA PAITILLA,"B/.339,000.00",286,4,2,2
62,Apartments in Marbella | APARTMENT FOR SALE IN MARBELLA AT ONLY US$195000,"B/.195,000.00
 (Reduced 2%)",152.5,3,3,2
63,Apartments in Vía Transístmica | VIA TRANSISMICA / PH COSMOPOLITAN TOWER / 77m2 / 2 HABITACIONES,"B/.185,000.00",77,2,2,1
64,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, PH Q Tower","B/.575,000.00",363,4,4,3
65,Apartments in Victoriano Lorenzo | EL BOSQUE APTO DE 86 MTS EN GANGA,"B/.125,000.00",86,2,2,1
66,Apartments in Santa María | OPORTUNIDAD !!!!PREVENTA SANTA MARIA / A PRECIOS INCREIBLES EXCELENTE UBICACION,"B/.441,000.00",160,3,3,2
67,Apartments in Hato Pintado | VENTA DE OPORTUNIDAD APARTAMENTO EN HATO PINTADO(NT),"B/.191,000.00",100,3,2,1
68,Apartments in Rufina Alfaro | SALE OPPORTUNITY COUNTY COUNTRY 96 MTS (NT),"B/.185,000.00",96,2,2,1
69,Apartments in Tumba Muerto | APARTMENT FOR SALE CONDADO COUNTRY CLUB 102MTS(NT),"B/.204,000.00",102,3,2,2
70,Apartments in Tumba Muerto | SALE OF OPPORTUNITY IN CONDADO COUNTRY CLUB,"B/.228,000.00",114,3,2,2
71,Apartments in Bella Vista | ALQUILER O VENTA THE PALACE BELLA VISTA,"B/.890,000.00",390,3,3,2
72,Apartments in Punta Pacífica | Venta Apartamento Mystic Point Punta Pacifica,"B/.485,000.00",242,3,4,2
73,Apartments in Santa María | Solana - Santa Maria - Se Vende Apartamento en Santa María - Solana,"B/.850,000.00",306,3,3.5,3
74,Apartments in Punta Pacífica | Apartamento en venta en Punta Pacífica 22-6967 MMC,"B/.550,000.00",183,3,2.5,1
