,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,Apartments in Carrasquilla | Apartment for sale in Carrasquilla 22DCD8322,"B/.179,000.00",78,2,2,1
1,Apartments in Bella Vista | Apartment for sale in Bella Vista 23DCD366,"B/.300,000.00",143,3,2,1
2,Apartments in San Francisco | VENTA APARTAMENTO EN COCO DEL MAR,"B/.630,000.00",280,3,3.5,2
3,Apartments in Avenida Balboa | Apartment for sale in Los Delfines - Avenida Balboa (ID 10003),"B/.850,000.00",560,3,3.5,4
4,Apartments in El Cangrejo | Venta Loft-Cangrejo 210k!!,"B/.210,000.00",109,1,1.5,1
5,"Apartments in El Cangrejo | Vendo Apartamento en Vía Veneto, ID7592","B/.138,000.00",94,2,2,1
6,Apartments in Costa del Este | Vendo Apartamento en Ph Green Bay en Costa del Este. 114m2. mg,"B/.190,000.00",114,3,2,1
7,Apartments in Marbella | Apartment for sale in Marbella 23DCD441,"B/.275,000.00",212,3,2,2
8,Apartments in San Francisco | Apartment for sale in San Francisco 23DCD305,"B/.172,750.00",74.17,1,1,1
9,Apartments in San Francisco | Apartment for sale in San Francisco 22DCD11507,"B/.285,000.00",173,3,3,2
10,"Apartments in Costa del Este | Costa del Este - Frente al Mar - 456mts2 - 1,250,000","B/.1,250,000.00",456,4,4.5,4
11,"Apartments in Coco del Mar | Coco del Mar – Frente al Mar – 620mts2 – 1,200,000","B/.1,200,000.00",620,4,4.5,5
12,Apartments in Punta Pacífica | Apartamento- Penthouse- Punta Pacifica San Francisco 445mts2,"B/.730,000.00",445,5,5,3
13,Apartments in Marbella | Beautiful apartment for sale in the area of Marbella,"B/.480,000.00",195,3,3.5,2
14,Apartments in Obarrio | Beautifully remodeled 2 bedrooms apartment for sale in Obarrio,"B/.200,000.00",111,2,2,1
15,Apartments in Avenida Balboa | OFERTA ESPECTACULAR APARTAMENTO FRENTE AL MAR,"B/.250,000.00",121,2,2,1
16,"Apartments in San Francisco | Se vende apartamento en San Francisco - Buena ubicación y vista - 281,000","B/.281,000.00",138,3,2,2
17,Apartments in Punta Paitilla | ESPECTACULAR APARTAMENTO FRENTE AL MAR,"B/.1,240,000.00",500,4,4.5,3
18,"Apartments in San Francisco | Se vende apartamento en San Francisco - Listo para ocupar - 180,000","B/.180,000.00",97,2,2,1
19,Apartments in San Francisco | WATERFALLS / SAN FRANCISCO / 184 mt2 / RENOVADO / DEPOSITO / DG,"B/.390,000.00",184,3,3.5,2
20,Apartments in Punta Pacífica | OFERTA ESPECTACULAR APARTAMENTO FRENTE AL MAR,"B/.538,000.00",299,3,3,2
21,Apartments in Villa Cáceres | venta de apartamento en Bethania,"B/.128,000.00",99,2,3,1
22,Apartments in San Francisco | COSMOPOLITAN!!!! SAN FRANCISCO !! HERMOSO !,"B/.289,000.00",170,3,2.5,2
