,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,Apartments in Avenida Balboa | JR| Se Vende Apartamento en la mejor zona de Ave.Balboa,"B/.288,000.00",114,2,2,2
1,Apartments in San Francisco | VENDO APARTAMENTO SAN FRANCISCO - REBAJADO,"B/.164,000.00",89,2,2,2
2,Apartments in Avenida Balboa | Spectacular apartment for sale in Ave Balboa,"B/.300,000.00",141,1,1.5,1
3,Apartments in Punta Paitilla | Mirage in Punta Paitilla (ID 12761),"B/.750,000.00",525,4,4.5,5
4,Apartments in San Francisco | Apartamento en venta en San Francisco MMC,"B/.180,000.00",119,3,3,2
5,Apartments in Punta Pacífica | Q Tower in Punta Pacifica (ID 12800),"B/.580,000.00",306,3,3.5,2
6,Apartments in San Francisco | Apartamento en venta en San Francisco MMC,"B/.178,000.00",125,2,2,1
7,Apartments in El Dorado | Apartamento en venta en El Dorado MMC,"B/.175,000.00",138,3,2,2
8,Apartments in Obarrio | Apartamento en venta en Obarrio MMC,"B/.175,000.00",129,2,3,2
9,Apartments in San Francisco | Park Loft in San Francisco (ID 12672),"B/.235,000.00",125,1,1.5,1
10,Apartments in Betania | Apartamento en venta en Betania MMC,"B/.175,000.00",120,3,3,2
11,Apartments in Clayton | Apartamento en venta clayton Embassy Club #21-8133 lcv,"B/.380,000.00",176,3,2,2
12,Apartments in Costa del Este | Vendo o Alquilo bello apartamento en piso 40 frente al Mar,"B/.700,000.00
 (Reduced 7%)",290,3,3.5,3
13,"Apartments in Santa María | THE RESERVE - 317 MTS - 4 BEDROOMS - $760,000 DL","B/.760,000.00",317,4,4,2
14,Apartments in Coco del Mar | 1 bedroom apartment with stunning ocean views at PH Le Mare,"B/.205,000.00",90,1,1.5,1
15,Apartments in Punta Pacífica | VENTA DE APARTAMENTO EN PH COSTA PACÍFICA PUNTA PACIFICA,"B/.230,000.00",147,3,3,2
16,Apartments in Coco del Mar | VENTA DE APARTAMENO EN SAN FRANCISCO ATLAPA,"B/.209,000.00",118,2,2,2
17,"Apartments in Costa del Este | GANGA! En Venta Apto en PH GREEN BAY, Costa del Este $160k","B/.160,000.00",115,3,2,1
18,Apartments in Punta Pacífica | Bellagio Tower in Punta Pacifica (ID 10850),"B/.1,900,000.00",690,4,4.5,3
19,Apartments in Punta Pacífica | pta pacifica - 307 meters - 3 rooms - 549900$ DL,"B/.549,900.00",307,3,3.5,2
20,Apartments in Condado del Rey | Se Vende Apartamento Amoblado con 2 Estac y 3Rec en Condado del Rey Edificio Rokas,"B/.150,000.00",98,3,3,2
21,Apartments in Marbella | Venta de Apartamento Ebbelle Marbella A.M.,"B/.220,000.00",152,3,3,2
22,Apartments in Parque Lefevre | Apartment for sale Parque Lindo II A.M.,"B/.125,000.00",75,2,2,1
23,Apartments in San Francisco | For Sale Beautiful Apartment in San Francisco,"B/.285,000.00",156,3,3,2
24,Apartments in Avenida Balboa | LUXURY APARTMENT WITH SPECTACULAR BATHTUB FRONT THE SEA,"B/.367,500.00",150,2,3,1
25,Apartments in El Cangrejo | Sale of Apartment El Cangrejo A.M.,"B/.185,000.00",117,2,2,1
26,Apartments in Punta Pacífica | Beautiful and spacious apartment in Punta Pacifica,"B/.360,000.00",198,3,3,2
27,Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica DPV,"B/.1,200,000.00",411,3,3,3
28,"Apartments in Vía Porras | VIA PORRAS.. 74 M2.. 2 REC.. 2B..ELEVADOR... B/. 115,000","B/.115,000.00",74,2,2,1
29,Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica DPV,"B/.1,000,000.00",455,4,5,4
30,Apartments in Costa del Este | Sale of Apartment in Costa del Este DPV,"B/.730,000.00",323,3,3,3
31,Apartments in Punta Pacífica | Apartment for sale in Punta Pacifica DPV,"B/.580,000.00",185,3,3,1
32,Apartments in San Francisco | Sale of Apartment in San Francisco DPV,"B/.560,000.00",308,3,4,NaN
