,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
48,Apartments in Carrasquilla | Sale of 77 m2 Apartment in Viridian Park Carrasquilla,"B/.117,000.00",77,2,2,1
49,Apartments in Costa del Este | Elevation tower - apartamento en venta costa del este,"B/.327,000.00",185,3,4.5,2
50,Dynasty Residences en Bella Vista,"B/.246,000.00",98,2,2,1
51,"Mystic Village en Don Bosco, Juan Díaz","B/.112,000.00",61.63,2,2,1
52,Ocean House en Santa María,"B/.287,000.00",86.84,2,2,2
53,Apartments in Punta Pacífica | PUNTA PACIFICA - APARTAMENTO EN VENTA - LOFT 41,"B/.305,000.00",177,1,1,1
54,Apartments in San Francisco | Excelente apartamento en TERRAZAS DEL PACIFICO,"B/.610,000.00
 (Reduced 3%)",315,3,4,3
55,"BALCONY - 1, 2 y 3 recámaras - ¡En Construcción!","B/.198,800.00",76,2,2,2
56,"Apartments in Victoriano Lorenzo | Apartamento en El Bosque, PH GREENWOOD TOWERS, Via Ricardo J Alfaro","B/.175,000.00",70,2,2,1
57,Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,"B/.790,000.00",306,3,3.5,2
58,Apartments in Santa María | EMPIRE - SANTA MARIA con opción a 4 recamaras,"B/.850,000.00
 (Reduced 2%)",322,4,4,3
59,Apartments in Punta Pacífica | GRAND TOWER - PUNTA PACIFICA,"B/.450,000.00
 (Reduced 1%)",171,2,2.5,2
60,Apartments in Punta Paitilla | GANGA / 2REC / 167mt2 / PAITILLA #1816 avd,"B/.199,000.00
 (Reduced 1%)",167,2,2,1
61,"Apartments in Avenida Balboa | Se vende apartamento en Avenida Balboa Bella Vista, Ph Nuovo Armani","B/.330,000.00
 (Reduced 3%)",105,2,3,1
62,"Apartments in Avenida Balboa | Se vende apartamento en Ave Balboa, Ph Yoo & Arts","B/.325,000.00
 (Reduced 34%)",121,1,1,1
63,Apartments in San Francisco | PH AURORA - 120m2 / 3Rec / 2.5Baños / Cuarto y baño de servicio,"B/.310,200.00
 (Reduced 10%)",120,3,2.5,2
64,PREVENTA PROYECTO CELESTE EN SANTA MARÍA,"B/.562,275.00",189,3,3,NaN
65,"Apartments in Calle 50 | Bella Vista, Vendo Apto 1Rec opción a la 2da Rec y 2 Baños 50Mts Entrega Inmediata $126,000.00","B/.126,000.00
 (Reduced 10%)",50,1,2,1
66,Apartments in Punta Pacífica | Ph Beach Club Residences. Ocean Reef II. SP,"B/.1,150,000.00",241,3,3.5,3
67,Apartments in Obarrio | Apartamento a la venta en Obarrio,"B/.270,000.00",230,4,2,2
68,Apartments in Costa del Este | SE VENDE FULL AMOBLADO APARTAMENTO COSTA DEL ESTE,"B/.610,000.00",244,3,3.5,2
69,Apartments in Costa del Este | MATISSE,"B/.915,000.00",337,3,3,3
70,Apartments in Punta Pacífica | ONE OF A KIND APARTMENT FOR SALE IN OCEAN REEF ISLAND,"B/.2,900,000.00",300,3,3.5,2
71,"Apartments in Carrasquilla | Se vende apartamento en Carrasquilla, Ph Residencias del Sol","B/.179,899.00
 (Reduced 13%)",84,2,2,1
72,"Apartments in Punta Pacífica | Se vende apartamento en Punta Pacífica, Ph Pacific Point Torre 400","B/.815,520.00
 (Reduced 37%)",272,3,3,2
73,"Apartments in Avenida Balboa | Se vende apartamento en Avenida Balboa, Ph Marina Terrace","B/.418,000.00",221.8,3,4.5,2
74,"Apartments in Punta Pacífica | Se Vende Apartamento en Punta Pacifica, Ph The Ocean Club trump","B/.370,000.00
 (Reduced 53%)",120,2,2,1
75,Apartments in Dorado Lake | Venta-alquiler,"B/.200,000.00",106,3,3,1
76,Apartments in Obarrio | VENDO APARTAMENTO EN OBARRIO,"B/.360,000.00",188,3,3.5,2
77,"Apartments in Coco del Mar | VITA FURNISHED APARTMENT FOR SALE, COCO DEL MAR (1)","B/.365,000.00",140,3,2,2
78,Apartments in Costa del Este | SE VENDE PH TITANIUM COSTA DEL ESTE,"B/.485,000.00",237,3,3.5,2
