,add_title,add_price,add_area,add_time,add_room,add_loc,add_prom
2411,"Sale Apartment in Edison Park, Betania, PH Vivendi, 3 rec., 98m2",370000.00,98 m2,8 days ago,3,Edison Park,NaN
2412,"Apartment in San Francisco, PH The Regent, 3 bedrooms, 175m2",329000.00,175 m2,8 days ago,3,San Francisco,NaN
2413,"Apartment in Bella Vista, PH Nuovo, 1 rec., 94m2",445000.00,94 m2,8 days ago,1,Bella Vista,NaN
2414,"Apartment in Marbella, PH Wanders & Yoo, 2 rec., 143m2",356000.00,143 m2,8 days ago,2,Marbella,NaN
2415,"Sale Apartment in Ave. Balboa, PH The Sands, 1 rec., 114m2",190000.00,113.61 m2,8 days ago,1,Avenida Balboa,NaN
2416,"Apartment in Calle 50, PH Mirador 50, 2 bedrooms, 104 m2","255000.00
(Reduced 3%)",104 m2,8 days ago,2,Calle 50,NaN
2417,"Apartment in El Carmen, PH Tabasará, 2 bedrooms, 208m2",350000.00,208 m2,8 days ago,2,El Carmen,NaN
2418,"Apartment in Ave. Balboa, PH La Ensenada, 3 rec., 195m2",225000.00,195 m2,8 days ago,3,Avenida Balboa,NaN
2419,"Apartment in Bella Vista, PH Belle View, 2 bedrooms, 95m2",232500.00,95 m2,8 days ago,2,Bella Vista,NaN
2420,"Apartment in Bella Vista, PH Dynasty Residences, 2 rec., 92m2",331000.00,92 m2,8 days ago,2,Bella Vista,NaN
2421,"Apartment in El Cangrejo, PH Terrazas del Cangrejo, 3 bedrooms, 231m2",1927000.00,231 m2,8 days ago,3,El Cangrejo,NaN
2422,"Apartment in Costa del Este, PH Marea II, 4 rec., 707m2","425000.00
(Reduced 6%)",707 m2,8 days ago,4,Costa del Este,NaN
2423,"Apartment in Punta Paitilla, PH Sonesta, 3 bedrooms, 299m2","339000.00
(Reduced 3%)",299 m2,8 days ago,3,Punta Paitilla,NaN
2424,"Apartment in Punta Paitilla, PH Tamanaco, 4 bedrooms, 286m2",349000.00,286 m2,8 days ago,4,Punta Paitilla,NaN
2425,"Penthouse apartment in Diablo, Ancón, PH Provenza, 4 bedrooms, 459m²",330000.00,459 m2,8 days ago,4,Diablo,NaN
2426,"Apartment in San Francisco, PH The Regent, 3 bedrooms, 156m2",200000.00,156 m2,8 days ago,3,San Francisco,NaN
2427,"Apartment in Punta Pacifica, PH Costa Pacifica, 3 bedrooms, 118m2",357000.00,118 m2,8 days ago,3,Punta Pacífica,NaN
2428,"Sale Apartment in Bella Vista, PH Costanera, 3 bedrooms, 123m2",335000.00,123 m2,8 days ago,3,Bella Vista,NaN
2429,"Apartment in Coco del Mar, PH Horizonte, 3 bedrooms, 210m2",515000.00,210 m2,8 days ago,3,Coco del Mar,NaN
2430,"Apartment in Costa del Este, PH Titanium Tower, 3 bedrooms, 226m2",135000.00,226 m2,8 days ago,3,Costa del Este,NaN
2431,"Apartment in Via España, PH Plaza Valencia, 3 bedrooms, 90m2",200000.00,90 m2,8 days ago,3,Vía España,NaN
2432,"Apartment in El Cangrejo, PH Onyx Tower, 3 bedrooms, 123m2",160000.00,123 m2,8 days ago,3,El Cangrejo,NaN
2433,"Sale Apartment in Pueblo Nuevo, PH Cosmopolitan Towers, 75m2",210000.00,75 m2,8 days ago,2,Pueblo Nuevo,NaN
2434,"Sale Apartment in Punta Paitilla, PH Royal Princess, 148m2",550000.00,148 m2,8 days ago,2,Punta Paitilla,NaN
2435,"Apartment in Punta Pacifica, PH Mystic Point, 242m2",160000.00,242 m2,8 days ago,3,Punta Pacífica,NaN
2436,"Sale Apartment in Via Argentina, PH More, 57m2",196000.00,56.86 m2,8 days ago,2,Vía Argentina,NaN
2437,"Sale Apartment in El Cangrejo, PH Van Gogh, 71m2",350000.00,71 m2,8 days ago,2,El Cangrejo,NaN
2438,"Sale Apartment in Obarrio, PH Eden Roc, 269m2",370000.00,268.67 m2,8 days ago,3,Obarrio,NaN
2439,"Sale Apartment in El Cangrejo, PH Luxor 300, 165m2",180000.00,165 m2,8 days ago,3,El Cangrejo,NaN
2440,"Sale Apartment in San Francisco, PH Metropolitan One, 98m2",271000.00,98 m2,8 days ago,2,San Francisco,NaN
2441,"Sale Apartment in Punta Paitilla, PH Perla del Pacífico, 155m2",580000.00,155 m2,8 days ago,3,Punta Paitilla,NaN
2442,"Sale Apartment in La Cresta, PH Alcazar, 482m2",185000.00,482 m2,8 days ago,4,La Cresta,NaN
2443,"Sale Apartment in San Francisco, PH Sky Blue Tower, 100m2","215000.00
(Reduced 4%)",100 m2,8 days ago,2,San Francisco,NaN
2444,"Sale Apartment in Punta Paitilla, PH La Joya, 160m2",1300000.00,160 m2,8 days ago,2,Punta Paitilla,NaN
2445,"For sale La Maison, Santa Maria",680000.00,345 m2,8 days ago,3,Santa María,NaN
2446,"Sale Apartment in Punta Pacifica, PH Q Tower, 308m2",610000.00,308 m2,8 days ago,3,Punta Pacífica,NaN
2447,"Apartment in Costa del Este, PH The Regent, 3 bedrooms, 202m2",295000.00,202 m2,8 days ago,3,Costa del Este,NaN
2448,"Sale Apartment in El Cangrejo, PH Van Gogh, 122m2",230000.00,121.99 m2,8 days ago,3,El Cangrejo,NaN
2449,"For Sale Studio in Punta Pacifica, PH JW Marriot, 1 bedroom, 49m2",575000.00,48.87 m2,8 days ago,1,Punta Pacífica,NaN
2450,"Sale Apartment PH Altamar, Costa del Este",220000.00,267 m2,9 days ago,3,Costa del Este,NaN
2451,"For Sale Apartment in Coco del Mar, PH Le Mare, 1 bedroom, 125m2",750000.00,125 m2,9 days ago,1,Coco del Mar,NaN
2452,"Sale Apartment PH Murano, Costa del Este",174000.00,290 m2,9 days ago,3,Costa del Este,NaN
2453,"Sale Apartment in Via Argentina, PH More, 2 bedrooms, 61m2",195000.00,61.37 m2,9 days ago,2,Vía Argentina,NaN
2454,"Apartment for sale in El Cangrejo, PH Vitro Loft, 96m2",215000.00,96 m2,9 days ago,1,El Cangrejo,NaN
2455,FOR SALE APARTMENT IN CARRASQUILLA PTV,550000.00,96 m2,9 days ago,3,Carrasquilla,NaN
2456,"RSW23546. For sale at an excellent price, apartment 400mts",140000.00,400 m2,9 days ago,3,La Cresta,NaN
2457,Venta de apartamento en Parque Lefevre - PH Parque Lindo Torre II,1100000.00,80 m2,9 days ago,2,Parque Lefevre,NaN
2458,VENDO APARTAMENTO EN COSTA DEL ESTE,860000.00,432 m2,9 days ago,4,Costa del Este,NaN
2459,Se vende apartamento en Grand Tower Punta Pacífica,650000.00,300 m2,9 days ago,3,Punta Pacífica,NaN
2460,Se vende apartamento en Pearl At The Sea Costa del Este,515000.00,291 m2,9 days ago,3,Costa del Este,NaN
2461,Se vende apartamento en Horizonte Coco del Mar,210000.00,424 m2,9 days ago,4,Coco del Mar,NaN
2462,Se vende apartamento en Green Bay Costa del Este,185000.00,122 m2,9 days ago,3,Costa del Este,NaN
2463,VENTA PH VICTORIA HILL,235000.00,98.5 m2,9 days ago,2,Hato Pintado,NaN
2464,"For sale Apartment Clayton Park, spacious, 3 Rec, Balcony",475000.00,125.42 m2,9 days ago,3,Clayton,NaN
2465,Se Vende Apartamento en PH Costa Pacifica /JBXG,560635.00,275 m2,9 days ago,3,Punta Pacífica,NaN
2466,Apartamento venta PH Deluxe Paitilla,515000.00,228 m2,9 days ago,2,Punta Paitilla,NaN
2467,TITANIUM - COSTA DEL ESTE,185000.00,226 m2,9 days ago,3,Costa del Este,NaN
2468,Apartamento en venta en El Dorado MMC,1095175.00,139 m2,9 days ago,3,El Dorado,NaN
2469,Apartamento venta PH Deluxe Paitilla,205000.00,427 m2,9 days ago,3,Punta Paitilla,NaN
2470,Apartamento en venta en Carrasquilla 22-1397 MMC,1750000.00,81 m2,9 days ago,2,Carrasquilla,NaN
2471,THE TOWERS PENTHOUSE- PUNTA PAITILLA,250000.00,625 m2,9 days ago,4,Punta Paitilla,NaN
2472,Apartamento en venta en Coco del Mar 22-6726 MMC,155000.00,121 m2,9 days ago,3,Coco del Mar,NaN
2473,PH ALEGRIA VENDO,450000.00,96 m2,9 days ago,3,Rio Abajo,NaN
2474,Venta De Apartamento En El Cangrejo. 23EBB.119,120000.00,316 m2,9 days ago,3,El Cangrejo,NaN
2475,JG1785 SALE CORAL 16 CRAB,105000.00,87 m2,9 days ago,1,El Cangrejo,NaN
2476,APTO EN CARRASQUILLA CON ACCESO AL PARQUE OMAR,193000.00,62 m2,9 days ago,2,Carrasquilla,NaN
2477,"Se vende apartamento amoblado en Ph Oasis Vía Porras 2Rec $193,000",673750.00,112 m2,9 days ago,2,San Francisco,NaN
2478,"PH THE COLONIAL AT SANTA MARIA $673,750.00",300000.00,225 m2,9 days ago,3,Santa María,NaN
2479,Apartamento en venta en Bella Vista 23-366 MMC,585000.00,143 m2,9 days ago,3,Bella Vista,NaN
2480,"ID 3253 ESTRENE PH NUEVO, PISO ALTO, ESTILO LOFT",887343.00,270 m2,9 days ago,3,Costa del Este,NaN
2481,Apartamento venta PH Deluxe Paitilla,305000.00,351 m2,9 days ago,3,Punta Paitilla,NaN
2482,PH CASTELLAMMARE. AVENIDA LA ROTONDA. VISTA AL MAR.,170000.00,137 m2,9 days ago,2,Costa del Este,NaN
2483,VENDO APARTAMENTO PH CANCUN,185000.00,120 m2,9 days ago,2,Obarrio,NaN
2484,VENDO HERMOSO APTO CERCA AL PARQUE OMAR,280000.00,96 m2,9 days ago,2,Carrasquilla,NaN
2485,Apartment for sale in Punta Pacifica Cur23-552 for sale,14000.00,144.8 m2,9 days ago,3,Punta Pacífica,NaN
2486,"Oportunidad de compra San Francisco 2 rec/ 2 baños Super precio 140,000.00",154000.00,82.5 m2,9 days ago,2,Punta Pacífica,NaN
2487,Apartment for sale in Parque Lefevre DPV,149900.00,74 m2,9 days ago,2,Parque Lefevre,NaN
2488,Venta de bello apartamento a estrenar en Spotlight con ubicación céntrica! Oportunidad-Negociable,549000.00,75 m2,9 days ago,2,Linda Vista,NaN
2489,3REC + CBE / PAITILLA / FRENTE AL MAR #1803 avd,610000.00,280 m2,9 days ago,3,Punta Paitilla,NaN
2490,JG2029 EAST COAST TITANIUM SALE,285500.00,244 m2,9 days ago,3,Costa del Este,NaN
2491,Pre-Venta de Apartamento en Costa del Este. Aproveche !,395000.00,100 m2,9 days ago,2,Costa del Este,NaN
2492,VENTA DE APARTAMENTO EN CLAYTON 23EBB.210,800000.00,176 m2,9 days ago,3,Clayton,NaN
2493,Venta apartamentos nuevos Punta Paitilla AMG,131100.00,260 m2,9 days ago,3,Punta Paitilla,NaN
2494,Apartment for sale in Parque Lefevre DPV,110000.00,60 m2,9 days ago,2,Parque Lefevre,NaN
2495,Apartamento en venta Parque Lefevre 21-4697CM,114999.00,75 m2,9 days ago,2,Parque Lefevre,NaN
2496,For sale Ph the barrels 2 Rooms cc,169500.00,70 m2,9 days ago,2,Vía España,NaN
2497,"Apartamento PH LUXOR Venta torre 200 - $169,500USD",255000.00,83 m2,9 days ago,2,El Cangrejo,NaN
2498,3REC +CBE / 145mt2 / PAITILLA / VISTA AL MAR #1813 avd,239000.00,145 m2,9 days ago,3,Punta Paitilla,NaN
2499,"Nice apartment for sale, well lit and fresh with a nice view",650000.00,140 m2,9 days ago,3,Albrook,NaN
2500,VENTA DE APARTAMENTO EN COCO DEL MAR 22EBB.11316,185000.00,224 m2,9 days ago,3,Coco del Mar,NaN
2501,Fully furnished apartment for sale in a central and quiet area,200000.00,100 m2,9 days ago,3,Costa del Este,NaN
2502,Spacious apartment for sale with luxury finishes,"212500.00
(Reduced 2%)",118 m2,9 days ago,3,Punta Pacífica,NaN
2503,San Francisco Bay Torre 600 entrega inmediata,725000.00,111.5 m2,9 days ago,2,San Francisco,NaN
2504,PH Murano with white line,870500.00,290 m2,9 days ago,3,Costa del Este,NaN
2505,VENTA DE APARTAMENTO A ESTRENAR EN SANTA MARIA 22EBB.10684,375000.00,322 m2,9 days ago,3,Santa María,NaN
2506,PH Asia Costa del Mar 3 recámaras,65000.00,153 m2,9 days ago,3,Costa del Este,NaN
2507,VENTA APARTAMENTO PH ARCADAS EN CAMPO LIMBERG,130000.00,56 m2,9 days ago,2,Campo Limberg,NaN
2508,Sale of nice and cozy apartment in Ph Vista Marina,179500.00,70 m2,9 days ago,2,12 de Octubre,NaN
2509,VENDO LINDO APTO EN SAN FRANCISCO,870000.00,98 m2,9 days ago,2,San Francisco,NaN
2510,SOLANA - SANTA MARIA,320000.00,306 m2,9 days ago,3,Santa María,NaN
2511,SE VENDE APARTAMENTO EN GENESIS TOWER EN SAN FRANCISCO.,353439.00,125 m2,9 days ago,2,San Francisco,NaN
2512,Venta apartamentos Condado del Rey AMG,114900.00,155 m2,9 days ago,4,Condado del Rey,NaN
2513,VENTA APARTAMENTO PARQUE LEFEVRE,550000.00,66 m2,9 days ago,2,Parque Lefevre,NaN
2514,VISTA DEL SOL - PUNTA PAITILLA,299000.00,471 m2,9 days ago,4,Punta Paitilla,NaN
2515,Venta apartamentos Condado del Rey AMG,357000.00,139 m2,9 days ago,3,Condado del Rey,NaN
2516,Hermoso apartamento con vista al Mar en Coco Del Mar,895000.00,180.75 m2,9 days ago,3,Coco del Mar,NaN
2517,For sale Ph Aquamare 410 meters,138000.00,410 m2,9 days ago,3,Punta Pacífica,NaN
2518,VENTA APARTAMENTO PH VISTA MARINA TOWER EN HATO PINTADO,980000.00,84 m2,9 days ago,2,Pueblo Nuevo,NaN
2519,For sale luxurious and spectacular apartment with sea view!,702000.00,352 m2,9 days ago,3,Coco del Mar,NaN
2520,O F E R T A ESPECTACULAR APARTAMENTO FRENTE AL MAR,475000.00,390 m2,9 days ago,3,Avenida Balboa,NaN
2521,Apartment for sale with a large balcony overlooking the sea!,1200.00,176 m2,9 days ago,2,Avenida Balboa,NaN
2522,Amplio y luminoso apartamento en Av Balboa PH bayfront,290000.00,100 m2,9 days ago,1,Avenida Balboa,NaN
2523,"PH LUMIERE – COSTA DEL ESTE – PARK VIEW $290,000","145000.00
(Reduced 6%)",117 m2,9 days ago,2,Costa del Este,NaN
2524,SE VENDE APARTAMENTO EN EL CANGREJO NEGOCIALBLE,1450000.00,94 m2,9 days ago,2,El Cangrejo,NaN
2525,PH MIRADORES AT THE POINT - PUNTA PAITILLA,289000.00,500 m2,9 days ago,3,Punta Paitilla,NaN
2526,"Remato apartamento en Calle 50 remodelado en $289,000 avalúo en $385,000 A-042A-",750000.00,236 m2,9 days ago,4,Calle 50,NaN
2527,Pent House en PH Maresias,119900.00,611.94 m2,9 days ago,4,Punta Paitilla,NaN
2528,VENTA APARTAMENTO PARQUE LEFEVRE LÍNEA BLANCA,199000.00,85 m2,9 days ago,3,Parque Lefevre,NaN
2529,Apartment for sale in San Francisco 28712MFK,315000.00,124 m2,9 days ago,3,San Francisco,NaN
2530,SE VENDE PH WHITE TOWER,190000.00,137 m2,9 days ago,2,Avenida Balboa,NaN
2531,Sale of Apartment in Bella Vista 22065MFK,239000.00,97 m2,9 days ago,1,Bella Vista,NaN
2532,VENTA HERMOSO APARTAMENTO PH 7400 WEST SAN FRANCISCO,438000.00,156 m2,9 days ago,3,San Francisco,NaN
2533,OFERTA ESPECTACULAR APARTAMENTO EN COSTA DEL ESTE,115000.00,205 m2,9 days ago,3,Costa del Este,NaN
2534,VIA ESPAÑA / PH LOS TONELES / LINEA BLANCA / 70m2,135000.00,70 m2,9 days ago,2,Vía España,NaN
2535,Colores de Bella Vista alquilado excelente inversión A-044,190000.00,49 m2,9 days ago,1,Avenida Balboa,NaN
2536,Apartment for sale in San Francisco 22798MFK,69000.00,100 m2,9 days ago,1,San Francisco,NaN
2537,"Venta de apartamento en El Crisol, Ciudad de Panamá",185000.00,70 m2,9 days ago,2,El Crisol,NaN
2538,HATO PINTADO / PH VICTORIA HILLS / 98m2 / 3 HABITACIONES,380000.00,98 m2,9 days ago,2,Hato Pintado,NaN
2539,OFERTA ESPECTACULAR APARTAMENTO FRENTE AL MAR,270000.00,169 m2,9 days ago,3,Avenida Balboa,NaN
2540,OBARRIO / PH DIANA TOWER / 135m2 / LINEA BLANCA,310000.00,135 m2,9 days ago,2,Obarrio,NaN
2541,OFERTA ESPECTACULAR APARTAMENTO FRENTE AL MAR,190000.00,137 m2,9 days ago,2,Avenida Balboa,NaN
2542,Apartment for sale in San Francisco 29484MFK,790000.00,82 m2,9 days ago,2,San Francisco,NaN
2543,PARAMOUNT - COSTA DEL ESTE,180000.00,313 m2,9 days ago,3,Costa del Este,NaN
2544,Apartment for sale in San Francisco 26963MFK,134000.00,95 m2,9 days ago,1,San Francisco,NaN
2545,VIA ESPAÑA / PH BRISAS DE SAN FERNANDO / 2 HABITACIONES / 100m2,77000.00,100 m2,9 days ago,2,Vía España,NaN
2546,"Vendo apartamento en Mystic Tower, ciudad de Panamá",185000.00,73 m2,9 days ago,2,Vía España,NaN
2547,"EDIFICIO H2O EN LA AVENIDA BALBOA, 101m2 1REC $185,000",178800.00,101 m2,9 days ago,1,Avenida Balboa,NaN
2548,Apartment for sale in San Francisco 29830MFK,250000.00,86 m2,9 days ago,2,San Francisco,NaN
2549,OFERTA ESPECTACULAR APARTAMENTO FRENTE AL MAR,150000.00,121 m2,9 days ago,2,Avenida Balboa,NaN
2550,Apartment for sale in San Francisco 21137MFK,237000.00,95 m2,9 days ago,2,San Francisco,NaN
2551,"Se venden apartamentos en Carrasquilla, Ph Residencias del Sol",1100000.00,120 m2,9 days ago,1,Carrasquilla,NaN
2552,For sale apartment in Ph Aquamare - Punta Pacifica,459000.00,400 m2,9 days ago,3,Punta Pacífica,NaN
2553,PH YOO AND ARTS - AVENIDA BALBOA - VENTA,650000.00,171 m2,9 days ago,2,Avenida Balboa,NaN
2554,ALTAMAR - COSTA DEL ESTE,820000.00,300 m2,9 days ago,3,Costa del Este,NaN
2555,TEN TOWER - COSTA DEL ESTE,495000.00,419 m2,9 days ago,3,Costa del Este,NaN
2556,"VENDO APARTAMENTO EN PUNTA PACIFICA, Q TOWER , 308M2 3REC+DEN $495,000",120000.00,310 m2,9 days ago,3,Punta Pacífica,NaN
2557,Apartment for sale in Parque Lefevre AGG,140000.00,104 m2,9 days ago,2,Parque Lefevre,NaN
2558,Apartamento Venta El Bosque 22 - 9810cm,1400000.00,99 m2,9 days ago,3,El Bosque,NaN
2559,"For sale Apartment in Pacific Point, CG 2366",300000.00,427 m2,9 days ago,4,Punta Pacífica,NaN
2560,"For sale Apartment in Forest Gate, CG",220000.00,152 m2,9 days ago,3,Albrook,NaN
2561,"For sale Apartment in Miyaki, CG 23380",260000.00,117 m2,9 days ago,3,Obarrio,NaN
2562,Venta Penthouse tipo loft... 260k,178000.00,160 m2,9 days ago,3,El Cangrejo,NaN
2563,"For sale Furnished Apartment in Quartier, CG",2990000.00,100 m2,9 days ago,2,San Francisco,NaN
2564,"Venta de Penthouse en Punta Pacifica, PH Pacific Point. bb",295000.00,1136 m2,9 days ago,4,Punta Pacífica,NaN
2565,"EDIFICIO YATCH CLUB EN LA AVENIDA BALBOA, 145m2 2REC $295,000",365000.00,150 m2,9 days ago,2,Avenida Balboa,NaN
2566,PH RIVAGE / AVENIDA BALBOA / VENTA,80000.00,150 m2,9 days ago,1,Avenida Balboa,NaN
2567,VENDO Apartamentos P.H. EL AMANECER,225000.00,96.65 m2,9 days ago,3,Las Mañanitas,NaN
2568,APARTMENT FOR SALE IN SAN FRANCISCO MPS2-10350,230000.00,150.49 m2,9 days ago,3,San Francisco,NaN
2569,APARTMENT FOR SALE IN OBARRIO MPS2-11478,240000.00,150.52 m2,9 days ago,3,Obarrio,NaN
2570,APARTMENT FOR SALE IN BELLAVISTA MPS21-8622,150000.00,134.18 m2,9 days ago,2,Bella Vista,NaN
2571,PH SAN FRANCISCO BAY,175000.00,96 m2,9 days ago,2,Coco del Mar,NaN
2572,"FOR SALE APARTMENT IN PUNTA PACIFICA, 3 BEDROOMS, FURNISHED, 108M2.",165000.00,108 m2,9 days ago,3,Punta Pacífica,NaN
2573,"VENDO APARTAMENTO EN EL CANGREJO, VITRO LOFT 100M2 1REC $165,000",425000.00,100 m2,9 days ago,1,El Cangrejo,NaN
2574,Vendo Apartamento en PH Sonesta-Punta Paitilla,285000.00,299 m2,9 days ago,3,Punta Paitilla,NaN
2575,APARTMENT FOR SALE IN SAN FRANCISCO CUR22-9286,255000.00,180 m2,9 days ago,3,San Francisco,NaN
2576,JW MARRIOTT - PUNTA PACIFICA - VENTA,250000.00,48.87 m2,9 days ago,1,Punta Pacífica,NaN
2577,APARTMENT FOR SALE IN SAN FRANCISCO CUR2-10268,610000.00,152 m2,9 days ago,3,San Francisco,NaN
2578,"Se vende apt en Costa del Este, titanium",275000.00,244 m2,9 days ago,3,Costa del Este,NaN
2579,APARTMENT FOR SALE IN SAN FRANCISCO CUR2-11577,240000.00,154.6 m2,9 days ago,3,San Francisco,NaN
2580,APARTMENT FOR SALE IN SAN FRANCISCO CUR23-95,260000.00,111 m2,9 days ago,2,San Francisco,NaN
2581,APARTMENT FOR SALE IN SAN FRANCISCO CUR23-176,340000.00,147 m2,9 days ago,3,San Francisco,NaN
2582,"PH MARINA PLAZA FURNISHED APARTMENT FOR RENT, SAN FRANCISCO (6)",169500.00,165 m2,9 days ago,2,San Francisco,NaN
2583,"PH Luxor, 2 Habitaciones 2 Baños 1 Parking 83M2","250000.00
(Reduced 6%)",83 m2,9 days ago,2,Vía Argentina,NaN
2584,"VENDO EN COCO DEL MAR, LEMARE / LE MARE 125M2 2 REC 250,000",425000.00,140 m2,9 days ago,2,Coco del Mar,NaN
2585,PH BREEZE - COSTA DEL ESTE - VENTA,270000.00,219 m2,9 days ago,3,Costa del Este,NaN
2586,Apartment for Sale in San Francisco JG,930000.00,183 m2,9 days ago,3,San Francisco,NaN
2587,"VENDO APARTAMENTO EN COSTA DEL ESTE, PH ARIA 358m2 4REC $930,000",175000.00,360 m2,9 days ago,4,Costa del Este,NaN
2588,"VENDO EN BELLAVISTA, BELLE VIEW / BELLEVIEW 90m2 2REC $175,000",290000.00,90 m2,9 days ago,2,Bella Vista,NaN
2589,Venta céntrico y amplio Apartamento Kolosal Tower Vista a la ciudad y mar,1500000.00,180 m2,9 days ago,3,San Francisco,NaN
2590,PH ARBOLEDA - ALTOS DEL GOLF - VENTA,240000.00,600 m2,9 days ago,4,Altos de Golf,NaN
2591,Venta céntrico Apartamento 3 recámaras Kolosal Tower San Francisco,255000.00,148 m2,9 days ago,3,San Francisco,NaN
2592,PH VICTORY WELLNESS,790000.00,79 m2,9 days ago,1,Coco del Mar,NaN
2593,Vendo apartamento en Punta Pacifica KC,550000.00,308.32 m2,9 days ago,3,Punta Pacífica,NaN
2594,LA CRESTA / PH ELITE / 400m2 / 3 HABITACIONES,2500000.00,400 m2,9 days ago,3,La Cresta,NaN
2595,Se Vende Penthouse en Ocean Reef Islands.,265000.00,654 m2,9 days ago,3,Punta Pacífica,NaN
2596,OBARRIO / PH TERRAZAS DE OBARRIO / LINEA BLANCA / 200m2,265000.00,200 m2,9 days ago,3,Obarrio,NaN
2597,OBARRIO / PH TERRAZAS DE OBARRIO / LINEA BLANCA / 200m2,134450.00,200 m2,9 days ago,3,Obarrio,NaN
2598,"$134,450 FOR SALE PH GREENWOOD TORRE I or II AREA 47.00 MTS2",215000.00,47 m2,9 days ago,2,El Bosque,NaN
2599,"Se Vende Apto en Vista Marina, Avenida Balboa MLS#15561",380000.00,114 m2,9 days ago,1,Avenida Balboa,NaN
2600,"Se vende apartamento en San Francisco, Ph Waterfalls, Vìa Porras",120000.00,185 m2,9 days ago,3,Vía Porras,NaN
2601,VIVE CERCA DE TODO - VIA ESPAÑA,460000.00,80 m2,9 days ago,3,Panama City,NaN
2602,Vendo apartamento en Punta Pacifica KC,495000.00,171 m2,9 days ago,2,Punta Pacífica,NaN
2603,"Coco del Mar – Vista al Mar – 276mts2 – 495,000",350000.00,276 m2,9 days ago,3,Coco del Mar,NaN
2604,Wanders & Yoo para estrenar en Marbella,875000.00,140 m2,9 days ago,2,Marbella,NaN
2605,PH SOLANA - SANTA MARIA - VENTA,509000.00,306 m2,9 days ago,3,Santa María,NaN
2606,APARTAMENTO DE LUJO EN PRESTIGE BELLA VISTA,325000.00,186 m2,9 days ago,2,Bella Vista,NaN
2607,PH NAUTICA TOWER - COCO DEL MAR - VENTA,900000.00,152 m2,9 days ago,1,Coco del Mar,NaN
2608,"Espectacular casa en The Reserve, Santa Maria",610000.00,380 m2,9 days ago,4,Santa María,NaN
2609,CROSS REALTY vende apto PH Titanium (Costa del Este)EB-CE4372,265000.00,244 m2,9 days ago,3,Costa del Este,NaN
2610,Mystic Point en Punta Pacífica 3 Rec Balcón,363000.00,167 m2,9 days ago,4,Punta Pacífica,NaN
2611,"Excelente y nuevo apto. lujoso en Nuovo Armani, Bella Vista",350000.00,94 m2,9 days ago,2,Bella Vista,NaN
2612,Penthouse for sale in San Francisco,235000.00,230 m2,9 days ago,3,San Francisco,NaN
2613,"Moon. 120mts 2r 2b lb ac $235,000.00",159000.00,120 m2,9 days ago,2,Coco del Mar,NaN
2614,"Tribu Coco del Mar. 53mts 1r 1b $159,000.00",300000.00,53 m2,9 days ago,1,Coco del Mar,NaN
2615,Apartment for sale in El Cangrejo,129.00,194 m2,9 days ago,3,El Cangrejo,NaN
2616,Venta de Apartamento desde $129.000 en Parque lefebre.,124000.00,60 m2,9 days ago,2,Parque Lefevre,NaN
2617,"APARTMENT IN PROJECT IN BELLA VISTA, ARMONIA",135000.00,45 m2,9 days ago,2,Avenida Balboa,NaN
2618,Venta de apartamento Céntrico en Chanis Parque Lefevre,170000.00,69 m2,9 days ago,2,Chanis,NaN
2619,Apartment for sale in San Francisco PH Sky Blue Tower,212000.00,100 m2,9 days ago,2,San Francisco,NaN
2620,Apartment for sale in The Sands - Av Balboa (ID 12929),169.00,72 m2,9 days ago,2,Avenida Balboa,NaN
2621,Apartamentos en venta! desde 169.000,"285000.00
(Reduced 14%)",87 m2,9 days ago,2,Vista Hermosa,NaN
2622,VENTA APARTAMENTO EN SANTA MARIA,233000.00,85 m2,9 days ago,2,Santa María,NaN
2623,Latest unicades - Immediate Delivery in COCO DEL MAR,110000.00,85 m2,9 days ago,2,Coco del Mar,NaN
2624,Se vende Apartamento en Ph City Tower en Vía España y 12 octubre,172000.00,70 m2,9 days ago,2,Rio Abajo,NaN
2625,Se vende apartamento con den familiar en San Francisco Bay t300 precio Reducido,179500.00,114 m2,9 days ago,2,San Francisco,NaN
2626,SANFRANCISCO/PH METROPOLITAN ONE /,1950000.00,98 m2,9 days ago,2,Vía Porras,NaN
2627,Venta apartamentos nuevos Paitilla AMG,1075000.00,624 m2,9 days ago,4,Punta Paitilla,NaN
2628,Venta apartamentos nuevos Paitilla AMG,625000.00,395 m2,9 days ago,4,Punta Paitilla,NaN
2629,"Apartment for sale in Punta Pacifica PH Ocean Park, 258.74 m2 RB",150000.00,258.74 m2,9 days ago,3,Punta Pacífica,NaN
2630,Ph Albrook Point - The apartment you dreamed of! VY,375000.00,75 m2,9 days ago,2,Albrook,NaN
2631,FOR SALE CONDO in PARQUE DEL MAR II with OCEAN view,611900.00,202 m2,9 days ago,3,Costa del Este,NaN
2632,Casa Bianca Costa del Este,240000.00,208 m2,9 days ago,3,Costa del Este,NaN
2633,Apartment in San Francisco,168000.00,148 m2,9 days ago,4,San Francisco,NaN
2634,GANGA Venta de Apartamento en condado del rey,610000.00,97 m2,9 days ago,3,Vía Porras,NaN
2635,APARTAMENTO AMOBLADO 3 RECÁMARAS TITANIUM COSTA DEL ESTE,145800.00,244 m2,9 days ago,3,Costa del Este,NaN
2636,SAINT FRANCIS | BRAND NEW | DELIVERY DECEMBER 2022 | LAST UNITS,705000.00,48 m2,9 days ago,1,San Francisco,NaN
