,add_title,add_price,add_area_val,add_bed_val,add_bath_val,add_park_val
0,Apartments in San Francisco | San Francisco Apartment for Sale 29303MFK,"B/.170,000.00",95,1,2,1
1,"Apartments in San Francisco | Venta de apartamentos en PH Living 73, San Francisco","B/.149,450.00",48,1,1,1
2,"Apartments in Hato Pintado | Venta de apartamento en PH Paradise Tower, Hato Pintado","B/.145,000.00",105,3,2,1
3,Apartments in El Cangrejo | Sale of apartment in Ph Luxor,"B/.162,500.00",84,2,2,2
4,Apartments in Avenida Balboa | Se Vende Apartamento en PH Grand Bay GANGA,"B/.175,000.00
 (Reduced 3%)",103,2,2,1
5,Apartments in Costa del Este | Sea Confiable Vende PH Sol del Este Costa del este REMODELADO,"B/.245,000.00",147,3,3,2
6,"Apartments in Marbella | SEA Confiable Vende Apto. en PH Rio Mar, Marbella. 220 M2","B/.260,000.00
 (Reduced 9%)",220,3,4,2
7,Apartments in Punta Pacífica | SEA Confiable en Venta unidad hotelera en el JW Marriott 58 mt2,"B/.130,000.00",49,1,1,NaN
8,"Apartments in San Francisco | JADE, APARTAMENTO VENTA, San Francisco","B/.300,000.00",138,3,2.5,2
9,Apartments in Avenida Balboa | Se vende - PH GV43 - Bella Vista - Avenida Balboa,"B/.255,000.00",109,2,2,1
10,Apartments in Santa María | PH OCEAN HOUSE | SANTA MARIA | VENTA,"B/.289,000.00",86,2,2.5,2
11,Apartments in Costa del Este | PH ACQUA II - COSTA DEL ESTE - VENTA,"B/.950,000.00",347,3,3.5,4
12,Apartments in Punta Pacífica | PH COURTYARD - PUNTA PACIFICA - VENTA,"B/.330,000.00",172,3,2.5,2
13,"Apartments in Punta Pacífica | PH GRAND TOWER PUNTA PACIFICA, VENTA, CJ","B/.825,000.00",313,3,3.5,2
14,Apartments in San Francisco | Venta de apartamento en San Francisco 22-9484,"B/.190,000.00",82,2,2,1
15,Apartments in Carrasquilla | Venta de apartamento en Carrasquilla 22-7510,"B/.185,920.00",83.3,2,2,2
16,Apartments in Punta Paitilla | Punta Roca in Punta Paitilla (ID 12846),"B/.950,000.00",525,4,4.5,3
17,Apartments in Santa María | Venta de exclusivo Apartamento en Santa María ID8151,"B/.790,000.00",280,3,3,3
